timestamp,apihumidity,apitemperature,gsr,no2,pm10,pm25,shumidity,so2,stemp
2023-11-29_11-24-44,84,4.49,552,37.7,12.63,10.78,51.55,15.26,18.10
2023-11-29_11-28-44,84,4.49,559,37.7,12.63,10.78,44.66,15.26,19.85
2023-11-29_11-32-45,83,4.94,571,34.27,11.39,9.47,50.42,15.5,17.52
2023-11-29_11-36-46,83,4.94,630,34.27,11.39,9.47,50.55,15.5,17.72
2023-11-29_11-40-47,83,4.94,632,34.27,11.39,9.47,52.54,15.5,17.05
2023-11-29_11-44-48,83,4.92,632,34.27,11.39,9.47,54.51,15.5,16.94
2023-11-29_11-48-48,82,4.91,630,34.27,11.39,9.47,53.86,15.5,16.82
2023-11-29_11-52-51,81,5.02,631,34.27,11.39,9.47,52.27,15.5,17.76
2023-11-29_11-56-52,81,5.03,631,34.27,11.39,9.47,55.55,15.5,16.87
2023-11-29_12-00-53,81,5.03,631,34.27,11.39,9.47,55.57,15.5,17.10
2023-11-29_12-04-56,81,4.84,632,34.27,11.39,9.47,55.34,15.5,16.75
2023-11-29_12-08-57,81,4.84,633,34.27,11.39,9.47,53.23,15.5,17.51
2023-11-29_12-12-58,81,4.84,634,34.27,11.39,9.47,50.90,15.5,17.60
2023-11-29_12-16-58,81,4.89,635,34.27,11.39,9.47,51.05,15.5,17.66
2023-11-29_12-20-59,81,4.89,635,34.27,11.39,9.47,49.22,15.5,17.99
2023-11-29_12-24-59,80,5.01,636,34.27,11.39,9.47,49.74,15.5,17.64
2023-11-29_12-29-00,80,5.01,546,34.27,11.39,9.47,50.77,15.5,17.83
2023-11-29_12-33-01,80,5.01,628,34.27,11.39,9.47,50.11,15.5,17.69
2023-11-29_12-37-01,78,5.43,626,31.53,9.53,7.62,49.95,15.26,17.49
2023-11-29_12-41-02,78,5.43,623,31.53,9.53,7.62,54.33,15.26,16.40
2023-11-29_12-45-03,78,5.43,623,31.53,9.53,7.62,51.26,15.26,16.99
2023-11-29_12-49-03,77,5.47,626,31.53,9.53,7.62,50.10,15.26,18.02
2023-11-29_12-53-04,76,5.63,616,31.53,9.53,7.62,49.21,15.26,17.65
2023-11-29_12-57-05,76,5.63,587,31.53,9.53,7.62,49.54,15.26,17.10
2023-11-29_13-01-06,76,5.63,622,31.53,9.53,7.62,49.17,15.26,17.41
2023-11-29_13-05-07,76,5.55,623,31.53,9.53,7.62,49.10,15.26,17.21
2023-11-29_13-09-07,76,5.55,619,31.53,9.53,7.62,49.36,15.26,17.18
2023-11-29_13-13-08,76,5.55,615,31.53,9.53,7.62,49.29,15.26,17.15
2023-11-29_13-17-09,75,5.54,615,31.53,9.53,7.62,49.64,15.26,17.38
2023-11-29_13-21-10,75,5.54,614,31.53,9.53,7.62,48.95,15.26,17.37
2023-11-29_13-25-11,75,5.54,617,31.53,9.53,7.62,48.82,15.26,17.30
2023-11-29_13-29-11,75,5.51,573,31.53,9.53,7.62,48.71,15.26,17.34
2023-11-29_13-33-12,75,5.51,615,31.53,9.53,7.62,48.70,15.26,17.32
2023-11-29_13-37-13,75,5.51,612,31.53,9.53,7.62,49.14,15.26,17.50
2023-11-29_13-41-13,76,5.45,613,34.62,9.2,7.22,48.77,15.74,17.46
2023-11-29_13-45-14,76,5.45,611,34.62,9.2,7.22,48.62,15.74,17.38
2023-11-29_13-49-15,76,5.45,607,34.62,9.2,7.22,48.35,15.74,17.50
2023-11-29_13-53-16,73,5.66,607,34.62,9.2,7.22,48.25,15.74,17.34
2023-11-29_13-57-16,73,5.66,604,34.62,9.2,7.22,48.55,15.74,17.32
2023-11-29_14-01-17,73,5.66,641,34.62,9.2,7.22,48.67,15.74,17.33
2023-11-29_14-05-18,75,5.32,633,34.62,9.2,7.22,48.66,15.74,17.25
2023-11-29_14-09-19,75,5.32,627,34.62,9.2,7.22,48.87,15.74,17.21
2023-11-29_14-13-20,75,5.32,613,34.62,9.2,7.22,49.61,15.74,17.20
2023-11-29_14-17-20,74,5.24,594,34.62,9.2,7.22,49.08,15.74,17.09
2023-11-29_14-21-21,74,5.24,606,34.62,9.2,7.22,49.32,15.74,17.04
2023-11-29_14-25-22,74,5.24,593,34.62,9.2,7.22,49.15,15.74,17.07
2023-11-29_14-29-22,74,5.17,585,34.62,9.2,7.22,49.44,15.74,17.43
2023-11-29_14-33-23,74,5.17,579,40.78,9.17,7.13,49.26,16.93,17.09
2023-11-29_14-37-23,74,5.17,585,40.78,9.17,7.13,49.36,16.93,17.02
2023-11-29_14-41-24,75,5.03,589,40.78,9.17,7.13,49.88,16.93,17.02
2023-11-29_14-45-25,75,5.03,634,40.78,9.17,7.13,49.52,16.93,16.92
2023-11-29_14-49-26,75,5.03,629,40.78,9.17,7.13,49.47,16.93,16.92
2023-11-29_14-53-27,75,4.97,627,40.78,9.17,7.13,49.34,16.93,16.96
2023-11-29_14-57-27,75,4.97,625,40.78,9.17,7.13,56.07,16.93,18.65
2023-11-29_15-01-28,75,4.97,621,40.78,9.17,7.13,46.16,16.93,18.72
2023-11-29_15-05-29,75,4.84,622,40.78,9.17,7.13,46.36,16.93,18.76
2023-11-29_15-09-30,75,4.84,622,40.78,9.17,7.13,49.02,16.93,17.29
2023-11-29_15-13-30,75,4.63,620,40.78,9.17,7.13,48.57,16.93,17.20
2023-11-29_15-17-31,75,4.63,616,40.78,9.17,7.13,48.66,16.93,17.09
2023-11-29_15-21-32,75,4.63,615,40.78,9.17,7.13,48.66,16.93,17.16
2023-11-29_15-25-33,76,4.56,611,40.78,9.17,7.13,48.42,16.93,17.05
2023-11-29_15-29-33,76,4.56,606,40.78,9.17,7.13,47.84,16.93,17.54
2023-11-29_15-33-34,76,4.46,613,40.78,9.17,7.13,47.18,16.93,17.59
2023-11-29_15-37-35,76,4.41,611,40.78,9.17,7.13,47.82,16.93,17.38
2023-11-29_15-41-35,76,4.46,608,46.61,10.13,8.06,47.41,16.21,17.44
2023-11-29_15-45-36,76,4.17,604,46.61,10.13,8.06,48.04,16.21,17.15
2023-11-29_15-49-37,76,4.17,602,46.61,10.13,8.06,31.23,16.21,26.28
2023-11-29_15-53-38,77,4.17,601,46.61,10.13,8.06,28.15,16.21,29.18
2023-11-29_15-57-38,77,4.09,600,46.61,10.13,8.06,26.57,16.21,30.08
2023-11-29_16-01-39,77,4.09,599,46.61,10.13,8.06,32.82,16.21,23.85
2023-11-29_16-05-40,77,4.09,594,46.61,10.13,8.06,44.10,16.21,18.89
2023-11-29_16-09-41,77,3.62,597,46.61,10.13,8.06,45.39,16.21,18.63
2023-11-29_16-13-41,77,3.59,576,46.61,10.13,8.06,45.93,16.21,18.47
2023-11-29_16-17-42,77,3.59,573,46.61,10.13,8.06,45.98,16.21,17.97
2023-11-29_16-21-45,77,3.59,553,46.61,10.13,8.06,46.31,16.21,17.77
2023-11-29_16-25-56,76,3.67,553,46.61,10.13,8.06,46.43,16.21,17.64
2023-11-29_16-29-57,76,3.67,548,46.61,10.13,8.06,47.36,16.21,17.95
2023-11-29_16-33-58,76,3.67,557,46.61,10.13,8.06,48.29,16.21,17.63
2023-11-29_16-37-59,79,3.28,546,47.3,12.32,10.18,47.23,14.54,17.66
2023-11-29_16-42-00,79,3.28,546,47.3,12.32,10.18,47.13,14.54,17.37
2023-11-29_16-46-11,78,3.24,545,47.3,12.32,10.18,47.42,14.54,17.31
2023-11-29_16-50-31,78,3.24,537,47.3,12.32,10.18,47.22,14.54,17.32
2023-11-29_16-54-51,77,3.21,540,47.3,12.32,10.18,49.10,14.54,17.29
2023-11-29_16-59-02,77,3.21,556,47.3,12.32,10.18,47.47,14.54,17.28
2023-11-29_17-03-13,77,3.06,553,47.3,12.32,10.18,47.30,14.54,17.26
2023-11-29_17-07-33,77,3.06,560,47.3,12.32,10.18,47.35,14.54,17.23
2023-11-29_17-11-53,78,2.96,559,47.3,12.32,10.18,47.46,14.54,17.17
2023-11-29_17-16-01,78,2.96,563,47.3,12.32,10.18,47.39,14.54,17.15
