timestamp,apihumidity,apitemperature,gsr,no2,pm10,pm25,shumidity,so2,stemp
2023-12-01_14-15-01,85,3.41,386,19.71,3.98,3.04,46.39,7.75,17.68
2023-12-01_14-19-02,85,3.41,429,19.71,3.98,3.04,47.68,7.75,16.51
2023-12-01_14-23-03,85,3.41,534,19.71,3.98,3.04,47.54,7.75,16.76
2023-12-01_14-27-04,84,3.46,524,19.71,3.98,3.04,46.51,7.75,16.76
2023-12-01_14-31-11,84,3.46,518,19.71,3.98,3.04,45.82,7.75,17.06
2023-12-01_14-35-17,84,3.38,531,19.71,3.98,3.04,45.56,7.75,17.16
2023-12-01_14-39-37,84,3.38,520,22.62,3.65,2.72,46.87,7.33,15.69
2023-12-01_14-43-37,84,3.54,501,22.62,3.65,2.72,45.42,7.33,16.65
2023-12-01_14-47-38,84,3.54,519,22.62,3.65,2.72,52.55,7.33,14.56
2023-12-01_14-51-39,84,3.54,529,22.62,3.65,2.72,54.03,7.33,15.00
2023-12-01_14-55-40,83,3.5,533,22.62,3.65,2.72,58.24,7.33,15.47
2023-12-01_14-59-40,83,3.5,548,22.62,3.65,2.72,47.42,7.33,18.85
2023-12-01_15-03-41,83,3.48,466,22.62,3.65,2.72,44.11,7.33,18.74
2023-12-01_15-07-41,83,3.48,547,22.62,3.65,2.72,45.39,7.33,17.98
2023-12-01_15-11-42,83,3.48,532,22.62,3.65,2.72,42.02,7.33,19.56
2023-12-01_15-15-42,82,3.38,534,22.62,3.65,2.72,41.00,7.33,19.95
2023-12-01_15-19-52,82,3.38,537,22.62,3.65,2.72,44.19,7.33,17.83
2023-12-01_15-24-03,83,3.28,542,18.16,3.21,2.36,49.32,6.68,17.23
2023-12-01_15-28-24,83,3.28,636,18.16,3.21,2.36,51.30,6.68,16.75
2023-12-01_15-32-44,83,3.28,629,18.16,3.21,2.36,61.34,6.68,5.54
2023-12-01_15-36-44,83,3.28,629,18.16,3.21,2.36,56.79,6.68,5.74
2023-12-01_15-40-44,83,3.28,626,18.16,3.21,2.36,59.46,6.68,6.37
2023-12-01_15-44-44,84,3.32,628,18.16,3.21,2.36,47.81,6.68,14.58
2023-12-01_15-48-44,84,3.32,625,18.16,3.21,2.36,45.54,6.68,19.44
