timestamp,apihumidity,apitemperature,gsr,no2,pm10,pm25,shumidity,so2,stemp
2023-11-27_09-33-19,92,9.03,552,17.65,1.41,1.16,40.75,5.54,23.28
2023-11-27_09-37-19,92,9.03,541,17.65,1.41,1.16,43.15,5.54,22.81
2023-11-27_09-41-20,92,9.25,553,17.65,1.41,1.16,44.06,5.54,22.05
2023-11-27_09-45-21,92,9.25,545,17.65,1.41,1.16,45.61,5.54,21.81
2023-11-27_09-49-22,92,9.25,569,17.65,1.41,1.16,45.07,5.54,21.85
2023-11-27_09-53-23,92,9.33,589,17.65,1.41,1.16,44.55,5.54,22.13
2023-11-27_09-57-23,92,9.33,596,17.65,1.41,1.16,44.24,5.54,22.36
2023-11-27_10-01-24,92,9.33,586,17.65,1.41,1.16,43.56,5.54,22.56
2023-11-27_10-05-25,92,9.21,583,17.65,1.41,1.16,44.73,5.54,22.06
2023-11-27_10-09-26,92,9.21,591,17.65,1.41,1.16,45.94,5.54,22.37
2023-11-27_10-13-28,92,9.42,586,17.65,1.41,1.16,42.85,5.54,23.27
2023-11-27_10-17-28,92,9.42,589,17.65,1.41,1.16,42.27,5.54,23.29
2023-11-27_10-21-29,92,9.42,596,17.65,1.41,1.16,43.67,5.54,22.53
2023-11-27_10-25-30,92,9.41,603,17.65,1.41,1.16,45.80,5.54,21.99
2023-11-27_10-29-31,92,9.41,585,17.65,1.41,1.16,43.56,5.54,22.71
2023-11-27_10-33-32,92,9.41,586,17.65,1.41,1.16,39.01,5.54,22.17
2023-11-27_10-37-33,92,9.41,616,16.97,1.42,1.14,41.38,5.78,21.53
2023-11-27_10-41-34,92,9.47,610,16.97,1.42,1.14,42.85,5.78,22.17
2023-11-27_10-45-35,92,9.47,585,16.97,1.42,1.14,39.76,5.78,21.89
2023-11-27_10-49-35,92,9.47,592,16.97,1.42,1.14,39.96,5.78,21.75
2023-11-27_10-53-36,92,9.47,595,16.97,1.42,1.14,40.08,5.78,21.89
2023-11-27_10-57-36,92,9.47,581,16.97,1.42,1.14,41.09,5.78,21.77
2023-11-27_11-01-37,92,9.47,585,16.97,1.42,1.14,41.60,5.78,21.63
2023-11-27_11-05-38,92,9.59,597,16.97,1.42,1.14,45.86,5.78,19.65
2023-11-27_11-09-39,92,9.59,590,16.97,1.42,1.14,43.60,5.78,20.11
2023-11-27_11-13-40,92,9.59,560,16.97,1.42,1.14,44.14,5.78,19.79
2023-11-27_11-17-41,92,9.63,553,16.97,1.42,1.14,43.56,5.78,20.03
2023-11-27_11-21-42,92,9.63,572,16.97,1.42,1.14,44.62,5.78,19.79
2023-11-27_11-25-43,92,9.63,560,16.97,1.42,1.14,43.96,5.78,19.98
2023-11-27_11-29-44,92,9.64,463,16.97,1.42,1.14,44.77,5.78,19.88
2023-11-27_11-33-45,92,9.64,472,16.97,1.42,1.14,46.70,5.78,19.80
2023-11-27_11-37-46,92,9.64,447,16.97,1.42,1.14,43.54,5.78,20.39
2023-11-27_11-41-47,92,9.74,355,22.96,2.66,2.33,45.20,5.96,19.72
2023-11-27_11-45-48,92,9.74,535,22.96,2.66,2.33,43.34,5.96,20.60
2023-11-27_11-49-49,92,9.74,554,22.96,2.66,2.33,41.05,5.96,25.84
2023-11-27_11-53-49,91,9.74,528,22.96,2.66,2.33,40.32,5.96,21.97
2023-11-27_11-57-50,91,9.74,533,22.96,2.66,2.33,41.08,5.96,21.30
2023-11-27_12-01-51,91,9.74,516,22.96,2.66,2.33,43.34,5.96,20.78
2023-11-27_12-05-52,91,9.74,540,22.96,2.66,2.33,43.13,5.96,21.27
2023-11-27_12-09-53,91,9.55,514,22.96,2.66,2.33,40.87,5.96,21.23
2023-11-27_12-13-54,91,9.55,404,22.96,2.66,2.33,43.02,5.96,20.80
2023-11-27_12-18-14,91,9.55,460,22.96,2.66,2.33,43.02,5.96,20.93
2023-11-27_12-22-14,91,9.43,518,25.71,4.29,3.96,44.22,4.83,19.52
2023-11-27_12-26-14,91,9.43,569,25.71,4.29,3.96,49.26,4.83,19.59
2023-11-27_12-30-14,91,9.43,634,25.71,4.29,3.96,44.54,4.83,21.29
2023-11-27_12-34-15,91,9.43,595,25.71,4.29,3.96,47.59,4.83,21.35
2023-11-27_12-38-15,91,9.12,573,25.71,4.29,3.96,42.81,4.83,22.02
2023-11-27_12-42-16,91,9.12,584,25.71,4.29,3.96,42.24,4.83,22.02
2023-11-27_12-46-17,91,9.12,547,25.71,4.29,3.96,40.83,4.83,22.46
2023-11-27_12-50-18,91,8.68,524,25.71,4.29,3.96,42.40,4.83,22.09
2023-11-27_12-54-18,91,8.68,542,25.71,4.29,3.96,42.96,4.83,22.70
2023-11-27_12-58-19,90,8.65,537,25.71,4.29,3.96,41.70,4.83,22.80
2023-11-27_13-02-20,90,8.65,548,25.71,4.29,3.96,41.40,4.83,22.77
2023-11-27_13-06-21,90,8.65,500,25.71,4.29,3.96,41.24,4.83,22.40
2023-11-27_13-10-22,90,8.11,571,25.71,4.29,3.96,41.18,4.83,22.50
2023-11-27_13-14-23,90,8.11,582,25.71,4.29,3.96,42.19,4.83,22.17
2023-11-27_13-18-24,90,8.11,586,25.71,4.29,3.96,42.11,4.83,21.88
2023-11-27_13-22-25,90,7.65,628,25.71,4.29,3.96,38.36,4.83,23.18
2023-11-27_13-26-37,90,7.65,623,25.71,4.29,3.96,40.50,4.83,22.56
2023-11-27_13-30-37,90,7.65,631,25.71,4.29,3.96,41.86,4.83,22.21
2023-11-27_13-34-43,90,7.11,622,18.51,2.84,2.57,41.68,3.93,22.09
2023-11-27_13-38-44,90,7.11,611,18.51,2.84,2.57,41.17,3.93,22.21
2023-11-27_13-42-45,90,7.11,602,18.51,2.84,2.57,41.04,3.93,22.37
2023-11-27_13-46-45,90,7.01,587,18.51,2.84,2.57,46.84,3.93,23.52
2023-11-27_13-50-46,90,7.01,586,18.51,2.84,2.57,42.82,3.93,23.55
2023-11-27_13-54-47,90,6.94,600,18.51,2.84,2.57,48.36,3.93,14.05
2023-11-27_13-58-47,90,6.94,605,18.51,2.84,2.57,68.27,3.93,8.78
2023-11-27_14-02-48,90,6.94,606,18.51,2.84,2.57,63.47,3.93,11.22
2023-11-27_14-06-50,90,6.66,609,18.51,2.84,2.57,57.29,3.93,17.58
2023-11-27_14-10-50,90,6.83,637,18.51,2.84,2.57,58.69,3.93,11.84
2023-11-27_14-14-51,90,6.83,634,18.51,2.84,2.57,64.77,3.93,9.25
2023-11-27_14-18-51,90,6.74,634,18.51,2.84,2.57,59.74,3.93,15.19
2023-11-27_14-22-52,90,6.74,636,18.51,2.84,2.57,50.57,3.93,18.12
2023-11-27_14-26-54,90,6.74,627,18.51,2.84,2.57,44.31,3.93,19.79
2023-11-27_14-30-54,90,6.74,623,18.51,2.84,2.57,39.73,3.93,20.31
2023-11-27_14-34-55,90,6.74,625,18.51,2.84,2.57,60.66,3.93,14.26
2023-11-27_14-38-55,90,6.74,625,14.22,1.89,1.65,52.73,3.34,13.40
2023-11-27_14-43-01,90,6.45,627,14.22,1.89,1.65,63.58,3.34,9.27
2023-11-27_14-47-02,90,6.45,631,14.22,1.89,1.65,68.98,3.34,8.37
2023-11-27_14-51-02,90,6.45,630,14.22,1.89,1.65,57.93,3.34,14.36
2023-11-27_14-55-03,91,6.21,627,14.22,1.89,1.65,42.32,3.34,17.02
2023-11-27_14-59-04,91,6.21,631,14.22,1.89,1.65,67.70,3.34,8.48
2023-11-27_15-03-05,91,6.21,638,14.22,1.89,1.65,69.60,3.34,8.02
2023-11-27_15-07-10,91,6.06,636,14.22,1.89,1.65,57.37,3.34,14.73
2023-11-27_15-11-11,91,6.06,627,14.22,1.89,1.65,48.18,3.34,19.18
2023-11-27_15-15-12,91,6.06,611,14.22,1.89,1.65,39.75,3.34,18.28
2023-11-27_15-19-12,91,5.98,616,14.22,1.89,1.65,56.34,3.34,15.42
2023-11-27_15-23-32,91,5.98,625,14.22,1.89,1.65,70.76,3.34,7.16
2023-11-27_15-27-33,91,5.98,621,14.22,1.89,1.65,58.21,3.34,15.97
2023-11-27_15-31-33,91,5.92,611,14.22,1.89,1.65,51.99,3.34,18.04
